song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Seven (feat. Latto) (Explicit Ver.),Jung Kook & Latto,1,3.0,3.0,1,1.0,0.005905511811023622,0.005905511811023622
Alone,Jimin,6,4.666666666666667,18.0,23,38.0,0.005669291338582677,0.0018635170603674542
Please Please Please,Sabrina Carpenter,5,6.6,13.0,33,44.0,0.0056692913385826766,0.0017952755905511811
Broken Melodies,NCT DREAM,1,20.0,20.0,44,44.0,0.005511811023622048,0.005511811023622048
Jealousyvalhalla,YANGHONGWON,1,4.0,4.0,16,16.0,0.005511811023622047,0.005511811023622047
FLOWER,JISOO,3,9.0,23.0,44,45.666666666666664,0.005433070866141732,0.002073490813648294
Slow Dancing,V,6,2.1666666666666665,3.0,6,34.666666666666664,0.00531496062992126,0.0015813648293963253
Pump Up The Volume!,PLAVE,2,17.5,33.0,47,47.0,0.0051968503937007875,0.0027559055118110236
A Psalm of Life,Lim Young Woong,6,25.333333333333332,132.0,45,47.333333333333336,0.0051968503937007875,0.0014829396325459316
Ditto,NewJeans,27,7.037037037037037,28.0,39,47.148148148148145,0.005118110236220472,0.0010542432195975503
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,1,3.0,3.0,10,10.0,0.00484251968503937,0.00484251968503937
Lucky Girl Syndrome,ILLIT,4,6.25,17.0,43,45.0,0.004685039370078741,0.001614173228346457
Fry’s Dream,AKMU,2,7.0,11.0,39,40.0,0.004330708661417323,0.002874015748031496
Slow Dancing (Piano Ver.),V,1,54.0,54.0,49,49.0,0.0042519685039370085,0.0042519685039370085
You & Me (Coachella ver.),JENNIE,1,3.0,3.0,16,16.0,0.004133858267716535,0.004133858267716535
Vancouver,BIG Naughty,2,51.5,101.0,50,50.0,0.003976377952755906,0.0020275590551181106
double take,Dhruv,6,3.8333333333333335,10.0,39,44.0,0.003937007874015748,0.0012073490813648293
Who,Jimin,1,2.0,2.0,1,1.0,0.003937007874015748,0.003937007874015748
Like Crazy,Jimin,5,2.0,2.0,1,10.6,0.003937007874015748,0.003181102362204724
Interlude : Dive,Jimin,21,3.0952380952380953,7.0,24,40.04761904761905,0.0038582677165354333,0.0012785901762279715
Smeraldo Garden Marching Band (feat. Loco),Jimin & Loco,1,2.0,2.0,2,2.0,0.003858267716535433,0.003858267716535433
Seven (feat. Latto) (Explicit Ver.),Jung Kook,4,2.0,2.0,2,2.25,0.003858267716535433,0.0038385826771653543
VIBE (feat. Jimin of BTS),TAEYANG,7,16.571428571428573,98.0,43,46.142857142857146,0.003858267716535433,0.0010348706411698538
Like Crazy (English Version),Jimin,3,2.0,2.0,3,4.666666666666667,0.0037795275590551177,0.0036482939632545928
Be Mine,Jimin,1,2.0,2.0,3,3.0,0.0037795275590551177,0.0037795275590551177
EASY,LE SSERAFIM,10,6.1,35.0,3,37.1,0.0037795275590551177,0.001311023622047244
Set Me Free Pt.2,Jimin,3,2.0,2.0,4,6.666666666666667,0.003700787401574803,0.003490813648293963
Supernatural,NewJeans,2,2.0,2.0,4,5.0,0.003700787401574803,0.0036220472440944883
Smeraldo Garden Marching Band (feat. Loco),Jimin,1,2.0,2.0,4,4.0,0.003700787401574803,0.003700787401574803
3D (feat. Jack Harlow),Jung Kook,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156
Standing Next to You,Jung Kook,5,2.0,2.0,5,8.2,0.0036220472440944883,0.0033700787401574803
Closer Than This,Jimin,4,2.0,2.0,5,6.5,0.0036220472440944883,0.0035039370078740156
Come back to me,RM,1,10.0,10.0,42,42.0,0.003543307086614173,0.003543307086614173
Sticky,KISS OF LIFE,3,2.0,2.0,6,22.0,0.003543307086614173,0.002283464566929134
Not Like Us,Kendrick Lamar,5,7.8,21.0,40,44.8,0.003464566929133858,0.0017086614173228345
Slow Dance (feat. Sofia Carson),Jimin,1,2.0,2.0,8,8.0,0.0033858267716535433,0.0033858267716535433
How Sweet,NewJeans,2,2.0,2.0,8,10.0,0.0033858267716535433,0.0032283464566929135
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,3,3.6666666666666665,5.0,34,44.0,0.003346456692913386,0.001272965879265092
Smart,LE SSERAFIM,3,2.0,2.0,9,19.666666666666668,0.003307086614173228,0.002467191601049869
Fate,(G)I-DLE,4,2.75,5.0,9,29.0,0.003307086614173228,0.0017913385826771654
Bam Yang Gang,BIBI,3,3.0,5.0,10,23.666666666666668,0.003228346456692913,0.0023097112860892386
FRI(END)S,V,6,2.3333333333333335,3.0,10,42.0,0.003228346456692913,0.000748031496062992
Rebirth (Intro),Jimin,1,2.0,2.0,10,10.0,0.003228346456692913,0.003228346456692913
Memories,RIIZE,4,2.75,4.0,24,42.0,0.003188976377952756,0.0010531496062992126
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,1,5.0,5.0,35,35.0,0.0031496062992125984,0.0031496062992125984
Small girl (feat. D.O.),Lee Young Ji,5,2.8,6.0,11,35.0,0.0031496062992125984,0.0014803149606299212
plot twist,TWS,4,3.5,8.0,11,29.75,0.0031496062992125984,0.001968503937007874
Do or Die,Lim Young Woong,7,3.4285714285714284,11.0,12,29.571428571428573,0.0030708661417322837,0.002019122609673791
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,6.0,6.0,38,38.0,0.0030708661417322837,0.0030708661417322837
Love Me Again,V,4,2.0,2.0,12,22.5,0.0030708661417322837,0.0022440944881889765
Dangerously,Charlie Puth,4,5.25,11.0,44,46.0,0.003031496062992126,0.001141732283464567
Grain of Sand,Lim Young Woong,7,3.4285714285714284,12.0,13,31.0,0.0029921259842519685,0.001687289088863892
Magnetic,ILLIT,2,2.0,2.0,13,13.5,0.0029921259842519685,0.002952755905511811
Supernova,aespa,3,2.0,2.0,13,15.333333333333334,0.0029921259842519685,0.002808398950131234
Please Don't Change (feat. DJ Snake),Jung Kook,10,4.0,8.0,36,46.5,0.002952755905511811,0.0007874015748031496
London Boy,Lim Young Woong,10,4.0,18.0,15,37.5,0.0028346456692913383,0.0012125984251968504
Bubble Gum,NewJeans,7,3.0,8.0,15,40.42857142857143,0.0028346456692913383,0.0008830146231721033
Interlude : Showtime,Jimin,1,2.0,2.0,15,15.0,0.0028346456692913383,0.0028346456692913383
T.B.H,QWER,8,6.125,22.0,37,44.875,0.002755905511811024,0.0009694881889763781
Armageddon,aespa,5,2.0,2.0,16,30.6,0.0027559055118110236,0.0016062992125984252
CROOKED,G-DRAGON,2,10.5,17.0,47,47.0,0.002677165354330709,0.0016535433070866143
Right Now,NewJeans,2,2.0,2.0,17,27.5,0.002677165354330709,0.0018503937007874017
Talk Saxy,RIIZE,6,12.5,34.0,46,48.833333333333336,0.002677165354330709,0.0009776902887139109
BIRDS OF A FEATHER,Billie Eilish,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292
we can't be friends (wait for your love),Ariana Grande,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292
Warmth,Lim Young Woong,4,2.5,3.0,18,34.0,0.0025984251968503938,0.0013681102362204725
You & Me,JENNIE,6,6.833333333333333,18.0,46,47.666666666666664,0.002559055118110236,0.0007677165354330709
Home,Lim Young Woong,3,3.6666666666666665,7.0,19,29.666666666666668,0.0025196850393700786,0.0017454068241469815
Like Crazy (Deep House Remix),Jimin,9,3.6666666666666665,8.0,43,45.666666666666664,0.0025196850393700786,0.0008573928258967629
Polaroid,Lim Young Woong,4,2.0,2.0,19,23.5,0.0025196850393700786,0.0021653543307086614
LOVE DIVE,IVE,3,10.0,21.0,48,48.666666666666664,0.0024803149606299215,0.0010629921259842521
Christmas Tree,V,1,9.0,9.0,44,44.0,0.0024803149606299215,0.0024803149606299215
Bling-Bang-Bang-Born,Creepy Nuts,4,6.75,21.0,42,46.25,0.0024803149606299215,0.0009350393700787403
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,3,7.333333333333333,13.0,42,46.666666666666664,0.002480314960629921,0.0010761154855643044
To. X,TAEYEON,3,3.0,5.0,20,30.333333333333332,0.002440944881889764,0.0016666666666666668
Never Let Go,Jung Kook,2,2.0,2.0,20,22.5,0.002440944881889764,0.0022440944881889765
Beautiful Things,Benson Boone,4,2.0,2.0,21,34.75,0.002362204724409449,0.001279527559055118
The Planet,BTS,3,7.333333333333333,12.0,42,44.0,0.002362204724409449,0.0017585301837270341
wherever u r (ft. V of BTS),UMI & V,2,4.0,6.0,41,45.0,0.002362204724409449,0.0012598425196850393
Like Crazy (Instrumental),Jimin,2,4.0,6.0,41,45.0,0.002362204724409449,0.0012598425196850393
Loving You,Lim Young Woong,3,5.333333333333333,12.0,46,47.666666666666664,0.002362204724409449,0.0009186351706036745
踊り子,Vaundy,3,2.3333333333333335,3.0,21,31.333333333333332,0.002362204724409449,0.0016404199475065617
If We Ever Meet Again,Lim Young Woong,8,2.125,3.0,22,36.875,0.0022834645669291337,0.0011318897637795275
アイドル,YOASOBI,3,9.0,19.0,44,45.666666666666664,0.0022440944881889765,0.0014435695538057743
Like Crazy (UK Garage Remix),Jimin,8,3.625,8.0,42,47.25,0.002204724409448819,0.000610236220472441
Rainy Days,V,4,5.5,10.0,44,46.5,0.002204724409448819,0.0008464566929133858
"Our Blues, Our Life",Lim Young Woong,31,3.967741935483871,20.0,37,46.0,0.002204724409448819,0.0006781813563627127
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2,4.0,6.0,24,35.0,0.0021259842519685043,0.0016535433070866143
MILLION DOLLAR BABY,Tommy Richman,3,2.3333333333333335,3.0,24,34.0,0.0021259842519685043,0.0013517060367454071
Somebody,Jung Kook,15,5.333333333333333,35.0,41,47.333333333333336,0.002125984251968504,0.0005774278215223097
Boom Boom Bass,RIIZE,4,2.0,2.0,25,37.75,0.002047244094488189,0.0010433070866141731
Get A Guitar,RIIZE,8,6.25,20.0,38,45.75,0.002047244094488189,0.0008316929133858268
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,25.0,25.0,49,49.0,0.001968503937007874,0.001968503937007874
Super Shy,NewJeans,6,5.833333333333333,25.0,31,39.333333333333336,0.001968503937007874,0.0012204724409448817
Father,Lim Young Woong,5,4.8,10.0,42,45.6,0.001968503937007874,0.0008346456692913385
Love 119,RIIZE,3,2.3333333333333335,3.0,26,35.333333333333336,0.001968503937007874,0.0012467191601049869
My Love Mine All Mine,Mitski,10,3.3,5.0,41,46.4,0.001968503937007874,0.0006811023622047244
Impossible,RIIZE,1,24.0,24.0,49,49.0,0.001889763779527559,0.001889763779527559
Yes or No,Jung Kook,3,3.0,5.0,27,34.0,0.0018897637795275589,0.0014960629921259843
Sweet Night,V,2,3.0,4.0,39,43.0,0.0018897637795275589,0.0011023622047244093
Promise,Jimin,9,3.3333333333333335,8.0,42,45.888888888888886,0.0018897637795275589,0.0006386701662292213
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,3,11.333333333333334,16.0,32,43.0,0.0018897637795275589,0.001548556430446194
Espresso,Sabrina Carpenter,2,2.0,2.0,27,28.5,0.0018897637795275589,0.0017716535433070866
Love wins all,IU,3,2.0,2.0,28,36.666666666666664,0.0018110236220472442,0.0011286089238845144
Holssi,IU,2,2.5,3.0,30,39.0,0.001653543307086614,0.0010039370078740158
Cosmic,Red Velvet,1,2.0,2.0,31,31.0,0.0015748031496062992,0.0015748031496062992
Rainbow,Lim Young Woong,19,3.526315789473684,13.0,31,45.10526315789474,0.0015748031496062992,0.0006361375880646498
Sudden Shower,ECLIPSE,4,3.25,5.0,38,43.5,0.0015354330708661418,0.0007775590551181103
Cupido,Engel Montaz & Kuv507 & Latinnites Music,1,2.0,2.0,32,32.0,0.0014960629921259843,0.0014960629921259843
I Don’t Think That I Like Her,Charlie Puth,4,7.5,18.0,48,49.0,0.0014173228346456694,0.0005905511811023622
Last Christmas - Single Version,Wham!,1,4.0,4.0,42,42.0,0.0014173228346456691,0.0014173228346456691
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,1,2.0,2.0,33,33.0,0.0014173228346456691,0.0014173228346456691
Who (Rock Remix),Jimin,5,6.0,14.0,35,43.6,0.0014173228346456691,0.0010078740157480315
Snowman,Sia,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544
"If I’m S, Can You Be My N?",TWS,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,1,3.0,3.0,40,40.0,0.0012992125984251969,0.0012992125984251969
Baddie,IVE,3,14.0,18.0,49,49.333333333333336,0.0012598425196850393,0.0008661417322834646
AK47,Men's Tear & 뷰티풀너드,2,2.0,2.0,35,37.5,0.0012598425196850393,0.001062992125984252
Love Letter,Lim Young Woong,9,3.6666666666666665,7.0,43,48.0,0.0012598425196850393,0.00041557305336832894
한 페이지가 될 수 있게,DAY6,1,2.0,2.0,35,35.0,0.0012598425196850393,0.0012598425196850393
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,6,4.166666666666667,11.0,41,47.0,0.0011811023622047244,0.000583989501312336
Who (Acoustic Remix),Jimin,5,6.8,24.0,36,43.4,0.0011811023622047244,0.0008661417322834645
Chk Chk Boom,Stray Kids,1,4.0,4.0,44,44.0,0.0011023622047244095,0.0011023622047244095
Melt Down,DAY6,4,2.25,3.0,40,42.25,0.001062992125984252,0.0007775590551181102
ANTIFRAGILE,LE SSERAFIM,1,13.0,13.0,49,49.0,0.0010236220472440946,0.0010236220472440946
Let's Say Goodbye,Parc Jae Jung,2,2.0,2.0,38,42.0,0.0010236220472440946,0.0007086614173228347
Little Light,DOYOUNG,1,3.0,3.0,43,43.0,0.0009448818897637795,0.0009448818897637795
Mars,D.O.,1,6.0,6.0,47,47.0,0.0009448818897637795,0.0009448818897637795
