song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score
Filter,BTS,3,98.66666666666667,288.0,31,40.333333333333336,0.22677165354330708,0.07611548556430446
With you,Jimin & HA SUNG WOON,4,57.75,201.0,28,41.25,0.18200787401574806,0.047194881889763785
Christmas Love,Jimin,14,12.785714285714286,136.0,28,43.214285714285715,0.12314960629921262,0.00957817772778403
That's What I Like,Bruno Mars,1,508.0,508.0,45,45.0,0.12,0.12
Attention,NewJeans,10,26.7,211.0,37,46.7,0.10799212598425197,0.01136220472440945
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,4,37.0,102.0,35,43.0,0.06425196850393701,0.016811023622047245
HAPPY,DAY6,1,161.0,161.0,42,42.0,0.057047244094488185,0.057047244094488185
Welcome to the Show,DAY6,6,26.833333333333332,141.0,36,44.833333333333336,0.03885826771653544,0.007198162729658793
Lost and Found,KingLee & Lil' Flip,1,19.0,19.0,8,8.0,0.03216535433070866,0.03216535433070866
Too Sad to Dance,Jung Kook,9,11.777777777777779,68.0,39,45.22222222222222,0.032125984251968505,0.004763779527559056
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8,33.5,189.0,29,41.375,0.029763779527559056,0.008828740157480315
All Or Nothing,J Money & KingLee,1,26.0,26.0,26,26.0,0.025590551181102362,0.025590551181102362
If I have you only (My love X Nerd Connection),Nerd Connection,9,17.444444444444443,129.0,42,46.44444444444444,0.025393700787401576,0.0033377077865266846
Who (Instrumental),Jimin,9,5.0,29.0,30,44.888888888888886,0.023976377952755906,0.0029615048118985126
Who (Shibuyakei Remix),Jimin,8,5.625,30.0,31,41.375,0.023622047244094488,0.003533464566929134
You Were Beautiful,DAY6,13,15.307692307692308,149.0,33,45.38461538461539,0.023464566929133856,0.0026196244700181707
Who (Beautiful Mind Remix),Jimin,12,5.0,30.0,32,45.583333333333336,0.022440944881889763,0.002267060367454068
OMG,NewJeans,15,14.2,55.0,40,45.6,0.021653543307086617,0.003902887139107612
SPOT!,ZICO & JENNIE,2,45.0,88.0,36,40.5,0.02078740157480315,0.010984251968503937
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,3,26.333333333333332,71.0,44,46.333333333333336,0.01956692913385827,0.0068241469816272965
Who (Funky Remix),Jimin,12,4.666666666666667,29.0,34,44.5,0.01940944881889764,0.0021358267716535435
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,4,7.5,21.0,28,35.25,0.019015748031496065,0.006023622047244095
Perfect Night,LE SSERAFIM,13,7.230769230769231,51.0,16,41.92307692307692,0.018070866141732284,0.002225923682616596
New Jeans,NewJeans,23,9.26086956521739,63.0,40,46.869565217391305,0.01736220472440945,0.0018486819582334817
Shot Glass of Tears,Jung Kook,5,15.8,62.0,44,47.2,0.01708661417322835,0.003677165354330709
"yes, and?",Ariana Grande,3,8.333333333333334,20.0,29,34.666666666666664,0.01653543307086614,0.006325459317585301
People Pt.2 (feat. IU),Agust D,2,14.5,25.0,35,40.0,0.015748031496062992,0.008346456692913385
For Us,V,1,52.0,52.0,44,44.0,0.014330708661417325,0.014330708661417325
Drama,aespa,8,15.125,88.0,32,44.375,0.013858267716535434,0.0024704724409448818
I Love You,Lim Young Woong,12,13.083333333333334,103.0,44,47.083333333333336,0.012165354330708662,0.0016043307086614173
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,9,17.11111111111111,72.0,37,45.666666666666664,0.011338582677165355,0.0023797025371828525
A bientot,Lim Young Woong,24,7.166666666666667,48.0,38,46.708333333333336,0.011338582677165353,0.0012007874015748032
Dance The Night (From Barbie The Album),Dua Lipa,3,18.333333333333332,47.0,45,47.0,0.011102362204724409,0.004120734908136483
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1,14.0,14.0,31,31.0,0.011023622047244094,0.011023622047244094
Lovely Touch,Lim Young Woong,5,32.0,138.0,44,48.0,0.010866141732283466,0.002897637795275591
Blue,V,4,15.25,54.0,43,46.75,0.010629921259842521,0.00297244094488189
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5,15.2,64.0,46,48.2,0.010078740157480314,0.0022519685039370076
Closer to You (feat. Major Lazer),Jung Kook,13,13.076923076923077,83.0,43,47.53846153846154,0.009803149606299211,0.0015414900060569349
Armageddon,aespa & Grimes & Flava D,1,15.0,15.0,36,36.0,0.008858267716535433,0.008858267716535433
WAY 4 LUV,PLAVE,1,55.0,55.0,47,47.0,0.008661417322834646,0.008661417322834646
My You,Jung Kook,6,10.833333333333334,50.0,47,48.833333333333336,0.007874015748031496,0.0014829396325459316
Cruel Summer,Taylor Swift,16,13.125,64.0,24,44.1875,0.007559055118110235,0.0015255905511811023
Face-off,Jimin,10,3.4,13.0,25,41.5,0.007165354330708662,0.001405511811023622
Hype Boy,NewJeans,21,10.19047619047619,50.0,35,46.714285714285715,0.006929133858267717,0.0012560929883764528
"무제(無題) (Untitled, 2014)",G-DRAGON,1,22.0,22.0,43,43.0,0.006929133858267717,0.006929133858267717
All I Want for Christmas Is You,Mariah Carey,1,6.0,6.0,24,24.0,0.006377952755905512,0.006377952755905512
Love Always Run Away,Lim Young Woong,14,11.357142857142858,57.0,43,48.0,0.0061417322834645665,0.0010967379077615298
ETA,NewJeans,18,8.277777777777779,77.0,39,47.05555555555556,0.006062992125984252,0.001010498687664042
