song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category
Slow Dancing,V,6,2.1666666666666665,3.0,6,34.666666666666664,0.00531496062992126,0.0015813648293963253,0.1935483870967742,0.3266666666666667,0.1758937642875286,Low
BIRDS OF A FEATHER,Billie Eilish,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low
we can't be friends (wait for your love),Ariana Grande,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low
All Or Nothing,J Money & KingLee,1,26.0,26.0,26,26.0,0.025590551181102362,0.025590551181102362,0.03225806451612903,0.5,0.17058039116078233,Low
Right Now,NewJeans,2,2.0,2.0,17,27.5,0.002677165354330709,0.0018503937007874017,0.06451612903225806,0.47,0.16736156972313945,Low
Home,Lim Young Woong,3,3.6666666666666665,7.0,19,29.666666666666668,0.0025196850393700786,0.0017454068241469815,0.0967741935483871,0.42666666666666664,0.16723329946659893,Low
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,8,33.5,189.0,29,41.375,0.029763779527559056,0.008828740157480315,0.25806451612903225,0.1925,0.163624428498857,Low
To. X,TAEYEON,3,3.0,5.0,20,30.333333333333332,0.002440944881889764,0.0016666666666666668,0.0967741935483871,0.41333333333333333,0.16320967741935483,Low
Who (Shibuyakei Remix),Jimin,8,5.625,30.0,31,41.375,0.023622047244094488,0.003533464566929134,0.25806451612903225,0.1925,0.16203584582169164,Low
Espresso,Sabrina Carpenter,2,2.0,2.0,27,28.5,0.0018897637795275589,0.0017716535433070866,0.06451612903225806,0.45,0.16133794767589538,Low
Small girl (feat. D.O.),Lee Young Ji,5,2.8,6.0,11,35.0,0.0031496062992125984,0.0014803149606299212,0.16129032258064516,0.32,0.16096022352044703,Low
Attention,NewJeans,10,26.7,211.0,37,46.7,0.10799212598425197,0.01136220472440945,0.3225806451612903,0.08599999999999994,0.15824091948183894,Low
踊り子,Vaundy,3,2.3333333333333335,3.0,21,31.333333333333332,0.002362204724409449,0.0016404199475065617,0.0967741935483871,0.39333333333333337,0.15720180340360682,Low
My Love Mine All Mine,Mitski,10,3.3,5.0,41,46.4,0.001968503937007874,0.0006811023622047244,0.3225806451612903,0.09200000000000003,0.15683658877317755,Low
Please Don't Change (feat. DJ Snake),Jung Kook,10,4.0,8.0,36,46.5,0.002952755905511811,0.0007874015748031496,0.3225806451612903,0.09,0.15626847853695708,Low
Alone,Jimin,6,4.666666666666667,18.0,23,38.0,0.005669291338582677,0.0018635170603674542,0.1935483870967742,0.26,0.1559784099568199,Low
Warmth,Lim Young Woong,4,2.5,3.0,18,34.0,0.0025984251968503938,0.0013681102362204725,0.12903225806451613,0.34,0.15402333629667259,Low
Bubble Gum,NewJeans,7,3.0,8.0,15,40.42857142857143,0.0028346456692913383,0.0008830146231721033,0.22580645161290322,0.21142857142857138,0.15401605646068434,Low
Who (Instrumental),Jimin,9,5.0,29.0,30,44.888888888888886,0.023976377952755906,0.0029615048118985126,0.2903225806451613,0.12222222222222229,0.15368415036830077,Low
Too Sad to Dance,Jung Kook,9,11.777777777777779,68.0,39,45.22222222222222,0.032125984251968505,0.004763779527559056,0.2903225806451613,0.11555555555555558,0.15222483278299892,Low
Beautiful Things,Benson Boone,4,2.0,2.0,21,34.75,0.002362204724409449,0.001279527559055118,0.12903225806451613,0.325,0.14949676149352298,Low
Time of Our Life -Japanese ver.- - Japanese ver.,DAY6,9,17.11111111111111,72.0,37,45.666666666666664,0.011338582677165355,0.0023797025371828525,0.2903225806451613,0.10666666666666672,0.1488429430192194,Low
Like Crazy (Deep House Remix),Jimin,9,3.6666666666666665,8.0,43,45.666666666666664,0.0025196850393700786,0.0008573928258967629,0.2903225806451613,0.10666666666666672,0.1483862501058336,Low
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,4,7.5,21.0,28,35.25,0.019015748031496065,0.006023622047244095,0.12903225806451613,0.315,0.14791998983997967,Low
Super Shy,NewJeans,6,5.833333333333333,25.0,31,39.333333333333336,0.001968503937007874,0.0012204724409448817,0.1935483870967742,0.23333333333333328,0.14778549657099313,Low
Promise,Jimin,9,3.3333333333333335,8.0,42,45.888888888888886,0.0018897637795275589,0.0006386701662292213,0.2903225806451613,0.10222222222222228,0.14698729997459997,Low
If I have you only (My love X Nerd Connection),Nerd Connection,9,17.444444444444443,129.0,42,46.44444444444444,0.025393700787401576,0.0033377077865266846,0.2903225806451613,0.09111111111111114,0.1444636779273559,Low
Drama,aespa,8,15.125,88.0,32,44.375,0.013858267716535434,0.0024704724409448818,0.25806451612903225,0.1325,0.14371694818389635,Low
Yes or No,Jung Kook,3,3.0,5.0,27,34.0,0.0018897637795275589,0.0014960629921259843,0.0967741935483871,0.34,0.14115849631699265,Low
MILLION DOLLAR BABY,Tommy Richman,3,2.3333333333333335,3.0,24,34.0,0.0021259842519685043,0.0013517060367454071,0.0967741935483871,0.34,0.1411151892303785,Low
T.B.H,QWER,8,6.125,22.0,37,44.875,0.002755905511811024,0.0009694881889763781,0.25806451612903225,0.1225,0.1402666529083058,Low
"yes, and?",Ariana Grande,3,8.333333333333334,20.0,29,34.666666666666664,0.01653543307086614,0.006325459317585301,0.0967741935483871,0.3266666666666667,0.13860731521463046,Low
FIELD TRIP,¥$ & Kanye West & Ty Dolla $ign,1,14.0,14.0,31,31.0,0.011023622047244094,0.011023622047244094,0.03225806451612903,0.4,0.13621031242062484,Low
Get A Guitar,RIIZE,8,6.25,20.0,38,45.75,0.002047244094488189,0.0008316929133858268,0.25806451612903225,0.105,0.13497531432562868,Low
Love Letter,Lim Young Woong,9,3.6666666666666665,7.0,43,48.0,0.0012598425196850393,0.00041557305336832894,0.2903225806451613,0.06,0.13425370417407503,Low
Cosmic,Red Velvet,1,2.0,2.0,31,31.0,0.0015748031496062992,0.0015748031496062992,0.03225806451612903,0.4,0.1333756667513335,Low
Love 119,RIIZE,3,2.3333333333333335,3.0,26,35.333333333333336,0.001968503937007874,0.0012467191601049869,0.0967741935483871,0.3133333333333333,0.13308369316738633,Low
FRI(END)S,V,6,2.3333333333333335,3.0,10,42.0,0.003228346456692913,0.000748031496062992,0.1935483870967742,0.18,0.13164376428752858,Low
Boom Boom Bass,RIIZE,4,2.0,2.0,25,37.75,0.002047244094488189,0.0010433070866141731,0.12903225806451613,0.265,0.13142589535179072,Low
Cupido,Engel Montaz & Kuv507 & Latinnites Music,1,2.0,2.0,32,32.0,0.0014960629921259843,0.0014960629921259843,0.03225806451612903,0.38,0.1273520447040894,Low
Like Crazy (UK Garage Remix),Jimin,8,3.625,8.0,42,47.25,0.002204724409448819,0.000610236220472441,0.25806451612903225,0.075,0.12590887731775463,Low
Filter,BTS,3,98.66666666666667,288.0,31,40.333333333333336,0.22677165354330708,0.07611548556430446,0.0967741935483871,0.2133333333333333,0.12554432308864616,Low
Love wins all,IU,3,2.0,2.0,28,36.666666666666664,0.0018110236220472442,0.0011286089238845144,0.0967741935483871,0.28666666666666674,0.1250482600965202,Low
With you,Jimin & HA SUNG WOON,4,57.75,201.0,28,41.25,0.18200787401574806,0.047194881889763785,0.12903225806451613,0.195,0.12427136779273558,Low
Seven (feat. Latto) (Alesso Remix),Jung Kook & Latto,2,4.0,6.0,24,35.0,0.0021259842519685043,0.0016535433070866143,0.06451612903225806,0.32,0.12230251460502921,Low
Young Man,HYUKOH & 落日飛車 Sunset Rollercoaster,1,2.0,2.0,33,33.0,0.0014173228346456691,0.0014173228346456691,0.03225806451612903,0.36,0.12132842265684532,Low
double take,Dhruv,6,3.8333333333333335,10.0,39,44.0,0.003937007874015748,0.0012073490813648293,0.1935483870967742,0.14,0.11978155956311914,Low
VIBE (feat. Jimin of BTS),TAEYANG,7,16.571428571428573,98.0,43,46.142857142857146,0.003858267716535433,0.0010348706411698538,0.22580645161290322,0.09714285714285709,0.11977589898036937,Low
Hate You,Jung Kook,6,2.5,3.0,39,44.5,0.0009448818897637794,0.0006233595800524934,0.1935483870967742,0.13,0.11660636271272544,Low
Welcome to the Show,DAY6,6,26.833333333333332,141.0,36,44.833333333333336,0.03885826771653544,0.007198162729658793,0.1935483870967742,0.12333333333333328,0.1165788036576073,Low
"If I’m S, Can You Be My N?",TWS,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544,0.03225806451612903,0.34,0.11530480060960123,Low
Snowman,Sia,1,2.0,2.0,34,34.0,0.0013385826771653544,0.0013385826771653544,0.03225806451612903,0.34,0.11530480060960123,Low
Who (Acoustic Remix),Jimin,5,6.8,24.0,36,43.4,0.0011811023622047244,0.0008661417322834645,0.16129032258064516,0.15200000000000002,0.1103759715519431,Low
Seven (feat. Latto) (Summer Mix),Jung Kook & Latto,1,5.0,5.0,35,35.0,0.0031496062992125984,0.0031496062992125984,0.03225806451612903,0.32,0.1098481076962154,Low
한 페이지가 될 수 있게,DAY6,1,2.0,2.0,35,35.0,0.0012598425196850393,0.0012598425196850393,0.03225806451612903,0.32,0.10928117856235713,Low
Who (Rock Remix),Jimin,5,6.0,14.0,35,43.6,0.0014173228346456691,0.0010078740157480315,0.16129032258064516,0.14799999999999996,0.10921849123698246,Low
AK47,Men's Tear & 뷰티풀너드,2,2.0,2.0,35,37.5,0.0012598425196850393,0.001062992125984252,0.06451612903225806,0.27,0.1071253492506985,Low
Please Please Please,Sabrina Carpenter,5,6.6,13.0,33,44.0,0.0056692913385826766,0.0017952755905511811,0.16129032258064516,0.14,0.10705471170942343,Low
Memories,RIIZE,4,2.75,4.0,24,42.0,0.003188976377952756,0.0010531496062992126,0.12903225806451613,0.18,0.10592884810769622,Low
Armageddon,aespa & Grimes & Flava D,1,15.0,15.0,36,36.0,0.008858267716535433,0.008858267716535433,0.03225806451612903,0.3,0.10556070612141225,Low
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,4,37.0,102.0,35,43.0,0.06425196850393701,0.016811023622047245,0.12903225806451613,0.16,0.10465621031242063,Low
Melt Down,DAY6,4,2.25,3.0,40,42.25,0.001062992125984252,0.0007775590551181102,0.12903225806451613,0.175,0.10434617094234189,Low
Not Like Us,Kendrick Lamar,5,7.8,21.0,40,44.8,0.003464566929133858,0.0017086614173228345,0.16129032258064516,0.12400000000000005,0.10222872745745493,Low
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),Halsey & SUGA,6,4.166666666666667,11.0,41,47.0,0.0011811023622047244,0.000583989501312336,0.1935483870967742,0.08,0.10159455168910338,Low
A Psalm of Life,Lim Young Woong,6,25.333333333333332,132.0,45,47.333333333333336,0.0051968503937007875,0.0014829396325459316,0.1935483870967742,0.07333333333333329,0.09986423672847346,Low
Holssi,IU,2,2.5,3.0,30,39.0,0.001653543307086614,0.0010039370078740158,0.06451612903225806,0.24,0.09810763271526542,Low
You & Me,JENNIE,6,6.833333333333333,18.0,46,47.666666666666664,0.002559055118110236,0.0007677165354330709,0.1935483870967742,0.06666666666666671,0.09764966979933962,Low
Father,Lim Young Woong,5,4.8,10.0,42,45.6,0.001968503937007874,0.0008346456692913385,0.16129032258064516,0.10799999999999997,0.09716652273304545,Low
Sudden Shower,ECLIPSE,4,3.25,5.0,38,43.5,0.0015354330708661418,0.0007775590551181103,0.12903225806451613,0.15,0.0968461709423419,Low
People Pt.2 (feat. IU),Agust D,2,14.5,25.0,35,40.0,0.015748031496062992,0.008346456692913385,0.06451612903225806,0.22,0.09431038862077724,Low
Fry’s Dream,AKMU,2,7.0,11.0,39,40.0,0.004330708661417323,0.002874015748031496,0.06451612903225806,0.22,0.09266865633731268,Low
SPOT!,ZICO & JENNIE,2,45.0,88.0,36,40.5,0.02078740157480315,0.010984251968503937,0.06451612903225806,0.21,0.0921017272034544,Low
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,1,6.0,6.0,38,38.0,0.0030708661417322837,0.0030708661417322837,0.03225806451612903,0.26,0.0918244856489713,Low
My You,Jung Kook,6,10.833333333333334,50.0,47,48.833333333333336,0.007874015748031496,0.0014829396325459316,0.1935483870967742,0.043333333333333286,0.09086423672847345,Low
Talk Saxy,RIIZE,6,12.5,34.0,46,48.833333333333336,0.002677165354330709,0.0009776902887139109,0.1935483870967742,0.043333333333333286,0.09071266192532383,Low
Nest,Lim Young Woong,6,5.166666666666667,11.0,46,49.0,0.0004330708661417323,0.0003083989501312336,0.1935483870967742,0.04,0.08951187452374905,Low
Shot Glass of Tears,Jung Kook,5,15.8,62.0,44,47.2,0.01708661417322835,0.003677165354330709,0.16129032258064516,0.07599999999999994,0.08841927863855727,Low
Lucky Girl Syndrome,ILLIT,4,6.25,17.0,43,45.0,0.004685039370078741,0.001614173228346457,0.12903225806451613,0.12,0.08809715519431038,Low
STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,3,11.333333333333334,16.0,32,43.0,0.0018897637795275589,0.001548556430446194,0.0967741935483871,0.16,0.0871742443484887,Low
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)",GroovyRoom & HUH YUNJIN,2,2.0,2.0,41,41.0,0.0007874015748031496,0.0007874015748031496,0.06451612903225806,0.2,0.08604267208534416,Low
That's What I Like,Bruno Mars,1,508.0,508.0,45,45.0,0.12,0.12,0.03225806451612903,0.12,0.0849032258064516,Low
HAPPY,DAY6,1,161.0,161.0,42,42.0,0.057047244094488185,0.057047244094488185,0.03225806451612903,0.18,0.08401739903479807,Low
Haegeum,Agust D,5,3.4,4.0,45,47.8,0.0006299212598425197,0.0004015748031496063,0.16129032258064516,0.06400000000000006,0.08383660147320297,Low
NEMONEMO,YENA,5,3.2,6.0,44,47.8,0.0005511811023622047,0.0003622047244094488,0.16129032258064516,0.06400000000000006,0.08382479044958092,Low
Lovely Touch,Lim Young Woong,5,32.0,138.0,44,48.0,0.010866141732283466,0.002897637795275591,0.16129032258064516,0.06,0.08338542037084075,Low
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,5,15.2,64.0,46,48.2,0.010078740157480314,0.0022519685039370076,0.16129032258064516,0.055999999999999946,0.08199171958343915,Low
Dangerously,Charlie Puth,4,5.25,11.0,44,46.0,0.003031496062992126,0.001141732283464567,0.12903225806451613,0.1,0.08195542291084582,Low
The Planet,BTS,3,7.333333333333333,12.0,42,44.0,0.002362204724409449,0.0017585301837270341,0.0967741935483871,0.14,0.08123723647447295,Low
Seven (feat. Latto) (Band Ver.),Jung Kook & Latto,3,3.6666666666666665,5.0,34,44.0,0.003346456692913386,0.001272965879265092,0.0967741935483871,0.14,0.08109156718313436,Low
Bling-Bang-Bang-Born,Creepy Nuts,4,6.75,21.0,42,46.25,0.0024803149606299215,0.0009350393700787403,0.12903225806451613,0.095,0.08039341503683006,Low
Let's Say Goodbye,Parc Jae Jung,2,2.0,2.0,38,42.0,0.0010236220472440946,0.0007086614173228347,0.06451612903225806,0.18,0.08001905003810007,Low
Guess featuring Billie Eilish,Charli xcx & Billie Eilish,1,3.0,3.0,40,40.0,0.0012992125984251969,0.0012992125984251969,0.03225806451612903,0.22,0.07929298958597918,Low
녹아내려요 Melt Down,DAY6,1,2.0,2.0,40,40.0,0.0008661417322834645,0.0008661417322834645,0.03225806451612903,0.22,0.07916306832613666,Low
Rainy Days,V,4,5.5,10.0,44,46.5,0.002204724409448819,0.0008464566929133858,0.12903225806451613,0.09,0.07886684023368047,Low
Teddy Bear,STAYC,4,2.5,3.0,45,46.5,0.0005905511811023622,0.00044291338582677165,0.12903225806451613,0.09,0.07874577724155449,Low
Blue,V,4,15.25,54.0,43,46.75,0.010629921259842521,0.00297244094488189,0.12903225806451613,0.085,0.07800463550927102,Low
Sweet Night,V,2,3.0,4.0,39,43.0,0.0018897637795275589,0.0011023622047244093,0.06451612903225806,0.16,0.07413716027432055,Low
Rockstar,LISA,1,2.0,2.0,41,41.0,0.0007874015748031496,0.0007874015748031496,0.03225806451612903,0.2,0.07313944627889256,Low
FLOWER,JISOO,3,9.0,23.0,44,45.666666666666664,0.005433070866141732,0.002073490813648294,0.0967741935483871,0.10666666666666672,0.07133172466344934,Low
アイドル,YOASOBI,3,9.0,19.0,44,45.666666666666664,0.0022440944881889765,0.0014435695538057743,0.0967741935483871,0.10666666666666672,0.07114274828549659,Low
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,3,26.333333333333332,71.0,44,46.333333333333336,0.01956692913385827,0.0068241469816272965,0.0967741935483871,0.09333333333333328,0.06875692151384301,Low
HERO,Lim Young Woong,4,3.5,6.0,46,48.25,0.0003937007874015748,0.0002952755905511811,0.12903225806451613,0.055,0.06820148590297181,Low
Come back to me,RM,1,10.0,10.0,42,42.0,0.003543307086614173,0.003543307086614173,0.03225806451612903,0.18,0.06796621793243586,Low
Last Christmas - Single Version,Wham!,1,4.0,4.0,42,42.0,0.0014173228346456691,0.0014173228346456691,0.03225806451612903,0.18,0.06732842265684531,Low
Sugarcoat (NATTY Solo),KISS OF LIFE,3,3.0,4.0,44,46.333333333333336,0.0007874015748031496,0.0005249343832020997,0.0967741935483871,0.09333333333333328,0.06686715773431545,Low
MANIAC,VIVIZ,4,5.0,11.0,48,48.75,0.0005905511811023622,0.00035433070866141734,0.12903225806451613,0.045,0.06521920243840489,Low
CARNIVAL,¥$ & Kanye West & Ty Dolla $ign,3,7.333333333333333,13.0,42,46.666666666666664,0.002480314960629921,0.0010761154855643044,0.0967741935483871,0.08666666666666671,0.06503251206502414,Low
Spring Snow,10CM,3,3.0,4.0,44,46.666666666666664,0.0005905511811023622,0.0004330708661417323,0.0967741935483871,0.08666666666666671,0.06483959867919736,Low
Dance The Night (From Barbie The Album),Dua Lipa,3,18.333333333333332,47.0,45,47.0,0.011102362204724409,0.004120734908136483,0.0967741935483871,0.08,0.06394589789179579,Low
I Don’t Think That I Like Her,Charlie Puth,4,7.5,18.0,48,49.0,0.0014173228346456694,0.0005905511811023622,0.12903225806451613,0.04,0.06379006858013717,Low
