song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score
OMG,NewJeans,15,14.2,55.0,40,45.6,0.021653543307086617,0.003902887139107612,0.4838709677419355,0.10799999999999997,0.22711925323850649,Medium,0.22,0.20572327702988738
EASY,LE SSERAFIM,10,6.1,35.0,3,37.1,0.0037795275590551177,0.001311023622047244,0.3225806451612903,0.27799999999999997,0.21282556515113027,Medium,0.96,0.20367930848361696
London Boy,Lim Young Woong,10,4.0,18.0,15,37.5,0.0028346456692913383,0.0012125984251968504,0.3225806451612903,0.27,0.2103960375920752,Medium,0.72,0.20104732029464056
Somebody,Jung Kook,15,5.333333333333333,35.0,41,47.333333333333336,0.002125984251968504,0.0005774278215223097,0.4838709677419355,0.07333333333333329,0.2157216154432309,Medium,0.2,0.19337583608500547
Armageddon,aespa,5,2.0,2.0,16,30.6,0.0027559055118110236,0.0016062992125984252,0.16129032258064516,0.408,0.18739801879603757,Low,0.7,0.1895736601473203
All I Want for Christmas Is You,Mariah Carey,1,6.0,6.0,24,24.0,0.006377952755905512,0.006377952755905512,0.03225806451612903,0.54,0.17681661163322326,Low,0.54,0.18886315722631444
Fate,(G)I-DLE,4,2.75,5.0,9,29.0,0.003307086614173228,0.0017913385826771654,0.12903225806451613,0.44,0.1841503048006096,Low,0.84,0.18874347536195074
You Were Beautiful,DAY6,13,15.307692307692308,149.0,33,45.38461538461539,0.023464566929133856,0.0026196244700181707,0.41935483870967744,0.11230769230769226,0.2022201305171841,Medium,0.36,0.184125571501143
plot twist,TWS,4,3.5,8.0,11,29.75,0.0031496062992125984,0.001968503937007874,0.12903225806451613,0.425,0.1797034544069088,Low,0.8,0.1839260541021082
If We Ever Meet Again,Lim Young Woong,8,2.125,3.0,22,36.875,0.0022834645669291337,0.0011318897637795275,0.25806451612903225,0.2825,0.18831537338074675,Low,0.58,0.18250294481838963
All Or Nothing,J Money & KingLee,1,26.0,26.0,26,26.0,0.025590551181102362,0.025590551181102362,0.03225806451612903,0.5,0.17058039116078233,Low,0.5,0.18210725171450343
Who (Funky Remix),Jimin,12,4.666666666666667,29.0,34,44.5,0.01940944881889764,0.0021358267716535435,0.3870967741935484,0.13,0.19447945770891542,Low,0.34,0.17842801466852934
Love Always Run Away,Lim Young Woong,14,11.357142857142858,57.0,43,48.0,0.0061417322834645665,0.0010967379077615298,0.45161290322580644,0.06,0.19897418266265104,Low,0.16,0.17792095594905477
BIRDS OF A FEATHER,Billie Eilish,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low,0.66,0.1774339598679197
we can't be friends (wait for your love),Ariana Grande,3,2.0,2.0,18,29.0,0.0025984251968503938,0.0017322834645669292,0.0967741935483871,0.44,0.17122936245872492,Low,0.66,0.1774339598679197
Right Now,NewJeans,2,2.0,2.0,17,27.5,0.002677165354330709,0.0018503937007874017,0.06451612903225806,0.47,0.16736156972313945,Low,0.68,0.1759320231140462
Face-off,Jimin,10,3.4,13.0,25,41.5,0.007165354330708662,0.001405511811023622,0.3225806451612903,0.19,0.1864539116078232,Low,0.52,0.1751100171450343
Slow Dancing,V,6,2.1666666666666665,3.0,6,34.666666666666664,0.00531496062992126,0.0015813648293963253,0.1935483870967742,0.3266666666666667,0.1758937642875286,Low,0.9,0.17442254572009144
Home,Lim Young Woong,3,3.6666666666666665,7.0,19,29.666666666666668,0.0025196850393700786,0.0017454068241469815,0.0967741935483871,0.42666666666666664,0.16723329946659893,Low,0.64,0.17310489162644993
Who (Beautiful Mind Remix),Jimin,12,5.0,30.0,32,45.583333333333336,0.022440944881889763,0.002267060367454068,0.3870967741935484,0.10833333333333328,0.18801882778765555,Low,0.38,0.17142899892049782
Closer to You (feat. Major Lazer),Jung Kook,13,13.076923076923077,83.0,43,47.53846153846154,0.009803149606299211,0.0015414900060569349,0.41935483870967744,0.06923076923076919,0.18897361325491882,Low,0.16,0.1697751778003556
Espresso,Sabrina Carpenter,2,2.0,2.0,27,28.5,0.0018897637795275589,0.0017716535433070866,0.06451612903225806,0.45,0.16133794767589538,Low,0.48,0.16940643256286514
To. X,TAEYEON,3,3.0,5.0,20,30.333333333333332,0.002440944881889764,0.0016666666666666668,0.0967741935483871,0.41333333333333333,0.16320967741935483,Low,0.62,0.1687459677419355
踊り子,Vaundy,3,2.3333333333333335,3.0,21,31.333333333333332,0.002362204724409449,0.0016404199475065617,0.0967741935483871,0.39333333333333337,0.15720180340360682,Low,0.6,0.16223743755820846
I Love You,Lim Young Woong,12,13.083333333333334,103.0,44,47.083333333333336,0.012165354330708662,0.0016043307086614173,0.3870967741935484,0.07833333333333328,0.17882000889001778,Low,0.14,0.1614636117813902
