song,artist,chart_appearance_days,best_chart_position,average_chart_position,average_popularity,total_chart_rows,album_type,is_explicit,album_cover_url,chart_presence_rate
Smeraldo Garden Marching Band (feat. Loco),Jimin,129,3,6.186046511627907,75.63565891472868,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
POWER,G-DRAGON,26,3,8.692307692307692,71.8076923076923,26,single,False,https://i.scdn.co/image/ab67616d0000b273bca5394fa6d2809b261abf5c,0.04684684684684685
Slow Dancing,V,234,4,27.346153846153847,90.42735042735043,234,single,False,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.42162162162162165
Queencard,(G)I-DLE,119,4,19.51260504201681,87.70588235294117,119,single,False,https://i.scdn.co/image/ab67616d0000b27382dd2427e6d302711b1b9616,0.21441441441441442
Cool With You,NewJeans,86,4,20.767441860465116,86.96511627906976,86,single,False,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,0.15495495495495495
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,12,4,32.0,86.91666666666667,12,single,True,https://i.scdn.co/image/ab67616d0000b273ee2fe4a7b285d3817b470859,0.021621621621621623
GODS,League of Legends & NewJeans,111,4,31.405405405405407,85.72972972972973,111,single,False,https://i.scdn.co/image/ab67616d0000b2738f735a689764b8b75174cfa2,0.2
Rainy Days,V,206,4,24.762135922330096,85.48058252427184,206,single,False,https://i.scdn.co/image/ab67616d0000b2732f1a5b69c2bd76474bca8035,0.37117117117117115
Set Me Free Pt.2,Jimin,429,4,6.256410256410256,81.1002331002331,429,single,True,https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4,0.772972972972973
You & Me,JENNIE,63,4,30.61904761904762,80.92063492063492,63,single,False,https://i.scdn.co/image/ab67616d0000b2738cd1023ed6ec97598937d55c,0.11351351351351352
UP - KARINA Solo,aespa,48,4,8.645833333333334,79.75,48,single,False,https://i.scdn.co/image/ab67616d0000b273253096eda3b7826c11c7fab8,0.08648648648648649
CRAZY,LE SSERAFIM,83,4,13.566265060240964,77.20481927710843,83,single,False,https://i.scdn.co/image/ab67616d0000b273485623bc41b6760fc1bca2f4,0.14954954954954955
Bam Yang Gang,BIBI,76,4,19.17105263157895,74.32894736842105,76,single,False,https://i.scdn.co/image/ab67616d0000b273c5543b3cce74f3edafcc8f59,0.13693693693693693
Armageddon,aespa,178,4,23.207865168539325,74.16292134831461,178,album,False,https://i.scdn.co/image/ab67616d0000b273090cfa22962b115ac530674c,0.3207207207207207
Right Now,NewJeans,57,4,23.57894736842105,74.0701754385965,57,single,False,https://i.scdn.co/image/ab67616d0000b2737e1eeb0d7cc374a168369c80,0.10270270270270271
Small girl (feat. D.O.),Lee Young Ji,93,4,25.838709677419356,73.27956989247312,93,single,False,https://i.scdn.co/image/ab67616d0000b273aa8e7da62fbfae5cb65f8e55,0.16756756756756758
HAPPY,DAY6,92,4,12.315217391304348,62.22826086956522,92,album,False,https://i.scdn.co/image/ab67616d0000b2730309970945710645006b9c9e,0.16576576576576577
You & Me (Coachella ver.),JENNIE,3,4,12.0,50.0,3,single,False,https://i.scdn.co/image/ab67616d0000b2738cd1023ed6ec97598937d55c,0.005405405405405406
3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,2,4,4.0,0.0,2,single,False,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,0.0036036036036036037
Take Two,BTS,155,5,27.651612903225807,89.3225806451613,155,single,False,https://i.scdn.co/image/ab67616d0000b2738a701e76e8845928f6cd81c8,0.27927927927927926
Face-off,Jimin,405,5,24.012345679012345,78.76543209876543,405,single,True,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.7297297297297297
Alone,Jimin,407,5,22.675675675675677,77.98525798525799,407,single,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.7333333333333333
"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long)",Fast & Furious: The Fast Saga & Jimin & BTS,65,5,30.815384615384616,73.12307692307692,65,single,False,https://i.scdn.co/image/ab67616d0000b273be4afaf12bdbcfd17d95f22b,0.11711711711711711
3D (Alternate Ver.),Jung Kook & Jack Harlow,20,5,24.0,68.05,20,single,False,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,0.036036036036036036
London Boy,Lim Young Woong,521,5,20.531669865642993,64.20537428023033,521,single,False,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,0.9387387387387387
I'll Be There,Jin,25,6,12.36,86.4,25,single,False,https://i.scdn.co/image/ab67616d0000b273ca460fa4699d9890f44f4df9,0.04504504504504504
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,226,6,24.42920353982301,83.83185840707965,226,album,False,https://i.scdn.co/image/ab67616d0000b27335d2e0ed94a934f2cc46fa49,0.4072072072072072
Love wins all,IU,84,6,25.69047619047619,80.47619047619048,84,single,False,https://i.scdn.co/image/ab67616d0000b273b79a12d47af18d1d83a5caf9,0.15135135135135136
Sticky,KISS OF LIFE,109,6,17.788990825688074,79.59633027522936,109,single,False,https://i.scdn.co/image/ab67616d0000b2734cd7f69b85766b3d3035c27c,0.1963963963963964
Slow Dance (feat. Sofia Carson),Jimin,129,6,11.813953488372093,76.01550387596899,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
Do or Die,Lim Young Woong,389,6,16.874035989717225,65.69665809768638,389,single,False,https://i.scdn.co/image/ab67616d0000b273831b4a8eb3bd16788dca633a,0.7009009009009008
アイドル,YOASOBI,118,7,23.906779661016948,89.27118644067797,118,single,False,https://i.scdn.co/image/ab67616d0000b273b7d6ca50bf766ad72226290c,0.2126126126126126
Yes or No,Jung Kook,180,7,23.02777777777778,85.65,180,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.32432432432432434
ASAP,NewJeans,44,7,20.295454545454547,85.1590909090909,44,single,False,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,0.07927927927927927
Interlude : Dive,Jimin,364,7,28.145604395604394,77.10989010989012,364,single,False,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,0.6558558558558558
Rebirth (Intro),Jimin,129,7,12.356589147286822,75.0,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
DIE 4 YOU,DEAN,28,7,31.785714285714285,71.57142857142857,28,single,False,https://i.scdn.co/image/ab67616d0000b273692556455950f562b344ab69,0.05045045045045045
Grain of Sand,Lim Young Woong,516,7,19.393410852713178,65.15503875968992,516,single,False,https://i.scdn.co/image/ab67616d0000b273111a6e9b713b646443c5c222,0.9297297297297298
I’ll Be There,Jin,7,7,7.714285714285714,60.285714285714285,7,album,False,https://i.scdn.co/image/ab67616d0000b2730aa3d58774384527afb5df53,0.012612612612612612
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga,1,7,7.0,27.0,1,compilation,False,https://i.scdn.co/image/ab67616d0000b273b569c6198ef340c5595f63d8,0.0018018018018018018
Still With You,Jung Kook,109,8,23.174311926605505,86.29357798165138,109,single,False,https://i.scdn.co/image/ab67616d0000b273a7f42c375578df426b37638d,0.1963963963963964
Get Up,NewJeans,38,8,20.68421052631579,85.63157894736842,38,single,False,https://i.scdn.co/image/ab67616d0000b2730744690248ef3ba7b776ea7b,0.06846846846846846
Hate You,Jung Kook,138,8,35.731884057971016,83.42753623188406,138,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.24864864864864866
number one girl,ROSÉ,4,8,8.75,76.75,4,single,False,https://i.scdn.co/image/ab67616d0000b273f0382a125bb499dff48fc9fe,0.007207207207207207
"Steal The Show - From ""Elemental""",Lauv,105,8,27.6,76.61904761904762,105,single,False,https://i.scdn.co/image/ab67616d0000b27322bbb2bd9c0d6bec5057d535,0.1891891891891892
plot twist,TWS,131,8,23.893129770992367,75.33587786259542,131,single,False,https://i.scdn.co/image/ab67616d0000b2739aaa57e6ba6ea9060e087ce7,0.23603603603603604
Love Lee,AKMU,82,8,20.414634146341463,75.08536585365853,82,single,False,https://i.scdn.co/image/ab67616d0000b273417974f327c63d9e042d8387,0.14774774774774774
Interlude : Showtime,Jimin,129,8,18.356589147286822,73.43410852713178,129,album,False,https://i.scdn.co/image/ab67616d0000b273f02c451189a709b9a952aaec,0.23243243243243245
Love 119,RIIZE,107,8,26.345794392523363,70.38317757009345,107,single,False,https://i.scdn.co/image/ab67616d0000b273bf6bbf06e9043fd0ce306d5a,0.1927927927927928
MEOW,MEOVV,48,8,24.4375,69.83333333333333,48,single,False,https://i.scdn.co/image/ab67616d0000b27320260d9635be6b2acbeb2f21,0.08648648648648649
Cherish (My Love),ILLIT,36,8,14.61111111111111,66.97222222222223,36,single,False,https://i.scdn.co/image/ab67616d0000b273fc2fffae3025fbc540b98f34,0.06486486486486487
Siren,RIIZE,32,8,26.75,65.4375,32,single,False,https://i.scdn.co/image/ab67616d0000b2739a705e5176594834ff52ca04,0.05765765765765766
Lost and Found,KingLee & Lil' Flip,3,8,14.333333333333334,59.333333333333336,3,single,True,https://i.scdn.co/image/ab67616d0000b273a7d4b25864eb074831afc0e9,0.005405405405405406
My Name is Malguem,QWER,64,8,20.234375,58.625,64,single,False,https://i.scdn.co/image/ab67616d0000b273df409319f6111210ada8cf35,0.11531531531531532
Vancouver 2,BIG Naughty,17,8,25.88235294117647,49.64705882352941,17,single,False,https://i.scdn.co/image/ab67616d0000b27360bcc9a42eb38acddf5d6468,0.03063063063063063
Standing Next to You - Sped Up - Remix,Beat Record,1,8,8.0,0.0,1,album,True,https://i.scdn.co/image/ab67616d0000b2737f1e7657db33ae105e3c647c,0.0018018018018018018
All I Want for Christmas Is You,Mariah Carey,12,9,26.166666666666668,99.75,12,album,False,https://i.scdn.co/image/ab67616d0000b2734246e3158421f5abb75abc4f,0.021621621621621623
Fortnight (feat. Post Malone),Taylor Swift,43,9,24.767441860465116,93.97674418604652,43,album,False,https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33,0.07747747747747748
FRI(END)S,V,120,9,29.566666666666666,89.825,120,single,False,https://i.scdn.co/image/ab67616d0000b273377ee031d0a3da40db19ccf4,0.21621621621621623
Never Let Go,Jung Kook,88,9,23.204545454545453,86.69318181818181,88,single,False,https://i.scdn.co/image/ab67616d0000b273083f5a45d93b57cb65a97b83,0.15855855855855855
Perfect Night,LE SSERAFIM,277,9,24.093862815884478,85.5956678700361,277,single,False,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc,0.4990990990990991
SHEESH,BABYMONSTER,91,9,22.494505494505493,85.26373626373626,91,single,False,https://i.scdn.co/image/ab67616d0000b2734f6afc385052250c766a5683,0.16396396396396395
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,131,9,25.404580152671755,84.03053435114504,131,album,False,https://i.scdn.co/image/ab67616d0000b273d71fd77b89d08bc1bda219c7,0.23603603603603604
Please Don't Change (feat. DJ Snake),Jung Kook,102,9,36.26470588235294,83.86274509803921,102,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.1837837837837838
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,20,9,28.1,80.2,20,single,False,https://i.scdn.co/image/ab67616d0000b273bf5cce5a0e1ed03a626bdd74,0.036036036036036036
Midas Touch,KISS OF LIFE,78,9,27.653846153846153,79.5,78,single,False,https://i.scdn.co/image/ab67616d0000b27307568782625b85282541394b,0.14054054054054055
Kitsch,IVE,92,9,28.065217391304348,79.3804347826087,92,album,False,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,0.16576576576576577
Smart,LE SSERAFIM,117,9,24.188034188034187,77.25641025641026,117,single,False,https://i.scdn.co/image/ab67616d0000b273110f5426b8c149e80804912a,0.21081081081081082
Fate,(G)I-DLE,97,9,23.97938144329897,72.48453608247422,97,album,False,https://i.scdn.co/image/ab67616d0000b27342281601a5a3f882ea77741e,0.17477477477477477
High Note,KingLee & Code G,2,9,9.0,65.0,2,single,True,https://i.scdn.co/image/ab67616d0000b2734eeb5c0a55dc0c44e5978351,0.0036036036036036037
HEYA,IVE,61,9,20.508196721311474,61.721311475409834,61,single,False,https://i.scdn.co/image/ab67616d0000b2739c4f13260bd0cbfdfe6bbc61,0.10990990990990991
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,11,9,28.09090909090909,50.81818181818182,11,single,False,https://i.scdn.co/image/ab67616d0000b273409a2d7bd4b2238e4aaa7bf5,0.01981981981981982
Cupid - Twin Ver.,FIFTY FIFTY,65,10,25.26153846153846,98.21538461538462,65,single,False,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,0.11711711711711711
Die With A Smile,Lady Gaga & Bruno Mars,103,10,17.25242718446602,96.80582524271844,103,single,False,https://i.scdn.co/image/ab67616d0000b27382ea2e9e1858aa012c57cd45,0.18558558558558558
OMG,NewJeans,317,10,31.993690851735014,86.28391167192429,317,single,False,https://i.scdn.co/image/ab67616d0000b273d70036292d54f29e8b68ec01,0.5711711711711712
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Jung Kook & BTS,161,10,22.142857142857142,84.7888198757764,161,single,False,https://i.scdn.co/image/ab67616d0000b273ef57183066d6cac0cabb85c6,0.29009009009009007
For Us,V,71,10,26.577464788732396,84.28169014084507,71,single,False,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.12792792792792793
Blue,V,67,10,26.925373134328357,84.14925373134328,67,single,False,https://i.scdn.co/image/ab67616d0000b2738e504c5aedaae49a73ed4963,0.12072072072072072
Closer to You (feat. Major Lazer),Jung Kook,60,10,33.25,82.98333333333333,60,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.10810810810810811
Too Sad to Dance,Jung Kook,43,10,29.906976744186046,81.95348837209302,43,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.07747747747747748
Baddie,IVE,62,10,31.93548387096774,78.40322580645162,62,single,False,https://i.scdn.co/image/ab67616d0000b2734d00ac692bae6ce08d2b49ad,0.11171171171171171
Either Way,IVE,38,10,21.236842105263158,76.86842105263158,38,single,False,https://i.scdn.co/image/ab67616d0000b2739013c729c55c91dad5906adc,0.06846846846846846
Fast Forward,JEON SOMI,76,10,21.63157894736842,73.1842105263158,76,single,False,https://i.scdn.co/image/ab67616d0000b273c8f053fb33434f99e195e90f,0.13693693693693693
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Trailer Version",Fast & Furious: The Fast Saga & Jimin & BTS,87,10,27.080459770114942,71.55172413793103,87,single,False,https://i.scdn.co/image/ab67616d0000b273146ea147ce8c185e71b3b84e,0.15675675675675677
Supersonic,fromis_9,105,10,17.847619047619048,71.05714285714286,105,single,False,https://i.scdn.co/image/ab67616d0000b2730490e8ab48790ca6e5add267,0.1891891891891892
Polaroid,Lim Young Woong,508,10,24.511811023622048,62.11417322834646,508,single,False,https://i.scdn.co/image/ab67616d0000b2732d2009b6cad53ddacad11334,0.9153153153153153
T.B.H,QWER,155,10,27.838709677419356,61.30967741935484,155,single,False,https://i.scdn.co/image/ab67616d0000b2738a0ed896193a7c70ae17b30e,0.27927927927927926
Espresso,Sabrina Carpenter,176,11,27.988636363636363,96.44886363636364,176,single,True,https://i.scdn.co/image/ab67616d0000b273659cd4673230913b3918e0d5,0.3171171171171171
Santa Tell Me,Ariana Grande,11,11,27.09090909090909,95.9090909090909,11,single,False,https://i.scdn.co/image/ab67616d0000b273a1db745e63940bc06985dea5,0.01981981981981982
Somebody,Jung Kook,62,11,34.983870967741936,82.5,62,album,False,https://i.scdn.co/image/ab67616d0000b273741fd4807f442af3f7359316,0.11171171171171171
Holssi,IU,30,11,30.733333333333334,67.83333333333333,30,single,False,https://i.scdn.co/image/ab67616d0000b2735048ed32fafe7b9a50d0e410,0.05405405405405406
Impossible,RIIZE,40,11,26.65,64.225,40,single,False,https://i.scdn.co/image/ab67616d0000b273a6821d337117c8f69235080a,0.07207207207207207
Melt Down,DAY6,66,11,31.37878787878788,63.07575757575758,66,album,False,https://i.scdn.co/image/ab67616d0000b273d746b397d3dd7ddd4d462065,0.11891891891891893
Warmth,Lim Young Woong,195,11,22.584615384615386,62.723076923076924,195,single,False,https://i.scdn.co/image/ab67616d0000b273744791c0e707946a832baa13,0.35135135135135137
LUNCH,Billie Eilish,29,12,27.379310344827587,92.20689655172414,29,album,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,0.05225225225225225
