song,artist,total_reentries,average_gap_days,longest_gap_days,best_reentry_position,average_reentry_position,highest_momentum_score,average_momentum_score,normalized_frequency,chart_strength,fandom_intensity_score,fandom_category,reentry_strength,sustainability_score,average_momentum_score_normalized,fandom_intensity_score_normalized,sustainability_score_normalized,overall_performance_score,overall_rank,performance_balance
Seven (feat. Latto) (Instrumental),Jung Kook & Latto,1,3.0,3.0,10,10.0,0.00484251968503937,0.00484251968503937,0.03225806451612903,0.82,0.2603559817119634,Medium,0.82,0.2793641414782829,0.0397242284963887,0.5870237451179473,0.7167580321711449,0.4682408906000989,23,0.6770338036747562
Rebirth (Intro),Jimin,1,2.0,2.0,10,10.0,0.003228346456692913,0.003228346456692913,0.03225806451612903,0.82,0.25987172974345946,Medium,0.82,0.27883953517907034,0.026263952724885093,0.5858463089088657,0.7153203784693193,0.4632875263998303,24,0.6890564257444342
Rainbow,Lim Young Woong,19,3.526315789473684,13.0,31,45.10526315789474,0.0015748031496062992,0.0006361375880646498,0.6129032258064516,0.1178947368421052,0.2807205526516316,Medium,0.4,0.25303866322206325,0.004648028475654007,0.6365392551547023,0.6446145574851009,0.4497982429666273,25,0.6399665290094468
Supernova,aespa,3,2.0,2.0,13,15.333333333333334,0.0029921259842519685,0.002808398950131234,0.0967741935483871,0.7133333333333333,0.25355219710439414,Medium,0.76,0.2666170307340614,0.022762092361567083,0.5704806583020212,0.6818253007561449,0.44513571337882823,26,0.6590632083945778
Magnetic,ILLIT,2,2.0,2.0,13,13.5,0.0029921259842519685,0.002952755905511811,0.06451612903225806,0.75,0.25169227838455677,Medium,0.76,0.26729029083058164,0.02396585686145765,0.5659583521698422,0.6836703317279548,0.44455979642266624,27,0.6597044748664971
That's What I Like,Bruno Mars,1,508.0,508.0,45,45.0,0.12,0.12,0.03225806451612903,0.12,0.0849032258064516,Low,0.12,0.08929032258064515,1.0,0.16041850399828056,0.19587155069262832,0.4247015191418181,28,0.8395814960017194
ETA,NewJeans,18,8.277777777777779,77.0,39,47.05555555555556,0.006062992125984252,0.001010498687664042,0.5806451612903226,0.07888888888888886,0.256227880789095,Medium,0.24,0.22919310741399262,0.00776975268111184,0.5769864591233346,0.5792671691083007,0.40701969568540586,29,0.5714974164271889
Interlude : Showtime,Jimin,1,2.0,2.0,15,15.0,0.0028346456692913383,0.0028346456692913383,0.03225806451612903,0.72,0.22975361950723902,Medium,0.72,0.24621158242316485,0.022980958634274455,0.5126155202952575,0.6259053311606545,0.4053765855998515,30,0.6029243725263801
Jealousyvalhalla,YANGHONGWON,1,4.0,4.0,16,16.0,0.005511811023622047,0.005511811023622047,0.03225806451612903,0.7,0.22455676911353822,Medium,0.7,0.2405816611633223,0.04530531845042679,0.49997961951487024,0.6104768524093555,0.402251360708607,31,0.5651715339589287
You & Me (Coachella ver.),JENNIE,1,3.0,3.0,16,16.0,0.004133858267716535,0.004133858267716535,0.03225806451612903,0.7,0.22414338328676658,Medium,0.7,0.24013382651765303,0.03381483913328956,0.4989744910437031,0.6092495870541385,0.3980228790742314,32,0.5754347479208489
Cruel Summer,Taylor Swift,16,13.125,64.0,24,44.1875,0.007559055118110235,0.0015255905511811023,0.5161290322580645,0.13625,0.24778429006858013,Medium,0.54,0.22542222821945643,0.012065003282994091,0.5564562597733689,0.5689332893182582,0.3975058431669677,33,0.5568682860352641
Smart,LE SSERAFIM,3,2.0,2.0,9,19.666666666666668,0.003307086614173228,0.002467191601049869,0.0967741935483871,0.6266666666666666,0.2274498348996698,Medium,0.84,0.23833947167894337,0.019916830816371196,0.5070139748368943,0.6043322597553021,0.39494623135218004,34,0.584415428938931
Christmas Love,Jimin,14,12.785714285714286,136.0,28,43.214285714285715,0.12314960629921262,0.00957817772778403,0.45161290322580644,0.1557142857142857,0.23023290032294352,Medium,0.46,0.21178456674770493,0.07921395741487668,0.5137808693767948,0.5315600543255874,0.3896335105202967,35,0.4523460969107107
Filter,BTS,3,98.66666666666667,288.0,31,40.333333333333336,0.22677165354330708,0.07611548556430446,0.0967741935483871,0.2133333333333333,0.12554432308864616,Low,0.4,0.12794183388366775,0.6340555920332677,0.25923544771602686,0.3017938173321017,0.3865769203768253,36,0.3748201443172408
Love Me Again,V,4,2.0,2.0,12,22.5,0.0030708661417322837,0.0022440944881889765,0.12903225806451613,0.57,0.22328613157226312,Medium,0.78,0.23114062103124206,0.018056467498358503,0.4968901232463518,0.5846042193217594,0.38393996014834647,37,0.5665477518234009
Polaroid,Lim Young Woong,4,2.0,2.0,19,23.5,0.0025196850393700786,0.0021653543307086614,0.12903225806451613,0.55,0.21726250952501905,Medium,0.64,0.22461503048006096,0.017399868680236373,0.48224396552363014,0.5667212098600265,0.3723577719883507,38,0.5493213411797901
Do or Die,Lim Young Woong,7,3.4285714285714284,11.0,12,29.571428571428573,0.0030708661417322837,0.002019122609673791,0.22580645161290322,0.42857142857142855,0.21949974599949199,Medium,0.78,0.21897418719837436,0.01618047087515243,0.4876837022818731,0.5512627999295572,0.36848541703654636,39,0.5350823290544048
Sticky,KISS OF LIFE,3,2.0,2.0,6,22.0,0.003543307086614173,0.002283464566929134,0.0967741935483871,0.58,0.21339471678943356,Medium,0.9,0.22311309372618746,0.018384766907419567,0.47283960681721043,0.5626052376779251,0.3679211256455233,40,0.5442204707705056
