artist,songs_with_reentry,total_reentries,average_momentum_score,average_fandom_intensity,average_sustainability_score
Jimin & HA SUNG WOON,1,4,0.047194881889763785,0.12427136779273558,0.12387462693675387
ILLIT,3,7,0.0015616797900262467,0.11957603081872831,0.12326829861993056
Sia,1,1,0.0013385826771653544,0.11530480060960123,0.12222536195072392
Ariana Grande,3,7,0.00279090113735783,0.11561146388959447,0.11897335111336889
IU,2,5,0.001066272965879265,0.1115779464058928,0.114155678498857
Dhruv,1,6,0.0012073490813648293,0.11978155956311914,0.11363432393531454
aespa,6,20,0.0013214129483814525,0.11309884323935314,0.11356317336593007
aespa & Grimes & Flava D,1,1,0.008858267716535433,0.10556070612141225,0.11166925958851917
TAEYANG,1,7,0.0010348706411698538,0.11977589898036937,0.1109400195943249
Billie Eilish,2,4,0.0012598425196850395,0.10718440436880873,0.11074009398018794
Men's Tear & 뷰티풀너드,1,2,0.001062992125984252,0.1071253492506985,0.11067611760223521
DAY6,8,36,0.009087432280099603,0.11243978427460061,0.10971299210393559
Sabrina Carpenter,3,10,0.0013420822397200351,0.10841337736008806,0.10848725199672622
KISS OF LIFE,3,8,0.001014873140857393,0.10504639742612816,0.10663180509694352
¥$ & Kanye West & Ty Dolla $ign,2,4,0.0060498687664041996,0.10062141224282449,0.10363018584370502
RIIZE,6,26,0.001173720472440945,0.10359942796968928,0.10058396811411678
V,9,29,0.0033953047535724705,0.1003178745801936,0.10001580976773065
Charlie Puth,3,16,0.0035203412073490817,0.10312330666328,0.09737999798916264
Jung Kook & Justin Timberlake,1,1,0.0030708661417322837,0.0918244856489713,0.09678835407670816
ZICO & JENNIE,1,2,0.010984251968503937,0.0921017272034544,0.0944005270510541
ECLIPSE,1,4,0.0007775590551181103,0.0968461709423419,0.09416399701549404
Halsey & SUGA,1,6,0.000583989501312336,0.10159455168910338,0.09393173207179747
QWER,2,9,0.0008981299212598426,0.09770895510541021,0.09375459383731267
Bruno Mars,1,1,0.12,0.0849032258064516,0.08929032258064515
GroovyRoom & HUH YUNJIN,1,2,0.0007874015748031496,0.08604267208534416,0.08783655067310135
Agust D,2,7,0.0043740157480314954,0.08907349504699011,0.08708768415036831
MAX,1,3,0.001548556430446194,0.0871742443484887,0.0863742485818305
Fast & Furious: The Fast Saga & Jimin & BTS,2,7,0.01181758530183727,0.08670656591313182,0.08452351092202184
Charli xcx & Billie Eilish,1,1,0.0012992125984251969,0.07929298958597918,0.08321256667513335
Parc Jae Jung,1,2,0.0007086614173228347,0.08001905003810007,0.08131096012192024
YENA,1,5,0.0003622047244094488,0.08382479044958092,0.0773693294386589
(G)I-DLE,4,9,0.000797244094488189,0.07652143129286258,0.07684983013716028
LISA,1,1,0.0007874015748031496,0.07313944627889256,0.07654622809245619
Creepy Nuts,1,4,0.0009350393700787403,0.08039341503683006,0.07634017811785623
Post Malone,1,5,0.0022519685039370076,0.08199171958343915,0.0753835026670053
STAYC,1,4,0.00044291338582677165,0.07874577724155449,0.07455523717297435
RM,1,1,0.003543307086614173,0.06796621793243586,0.07094189738379476
Wham!,1,1,0.0014173228346456691,0.06732842265684531,0.070250952501905
JISOO,1,3,0.002073490813648294,0.07133172466344934,0.06921151892303787
YOASOBI,1,3,0.0014435695538057743,0.07114274828549659,0.06900679451358904
BTS,4,9,0.01965551181102362,0.06742891160782322,0.06699960047836762
DOYOUNG,1,1,0.0009448818897637795,0.061186690373380745,0.06359740919481839
10CM,1,3,0.0004330708661417323,0.06483959867919736,0.06217838244009822
UMI & V,1,2,0.0012598425196850393,0.06218440436880874,0.061990093980187955
Dua Lipa,1,3,0.004120734908136483,0.06394589789179579,0.06121020658707983
KANGDANIEL,1,3,0.0004724409448818897,0.06285140970281941,0.060024511049022095
VIVIZ,1,4,0.00035433070866141734,0.06521920243840489,0.05990144780289561
NCT DREAM,1,1,0.005511811023622048,0.05655676911353823,0.058581661163322335
Jay Park,1,3,0.0005249343832020996,0.06086715773431546,0.05787490474980948
Kendrick Lamar,2,6,0.0008937007874015747,0.06057778765557532,0.05756142049784101
